datetime,conditions,description,icon
12/03/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
13/03/2023,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain
14/03/2023,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow
15/03/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
16/03/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
17/03/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
18/03/2023,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain
19/03/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
20/03/2023,Clear,Clear conditions throughout the day.,clear-day
21/03/2023,Clear,Clear conditions throughout the day.,clear-day
22/03/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
23/03/2023,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain
24/03/2023,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain
25/03/2023,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
26/03/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
27/03/2023,"Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain.,rain
28/03/2023,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain
29/03/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
30/03/2023,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain
31/03/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
01/04/2023,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain
02/04/2023,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain
03/04/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
04/04/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
05/04/2023,"Rain, Overcast",Cloudy skies throughout the day with afternoon rain.,rain
06/04/2023,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain
07/04/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
08/04/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
